OID_,Value,Count,bps,evt,evh_reclass,evc_reclass,BPS_MODEL,EVT_LF,EVT_PHYS,EVT_SBCLS,Leaf_Form,HT_Class,Lifeform,CanCover,SClass,LandType,LABEL
112,112,17.000000000000000,1874,9288,43,5,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,40-49,4,RB Mixed Hardwood-Toeslope (ELTP),D
113,113,1628.000000000000000,1875,9817,23,6,13200_48_57_61,Herb,Exotic Herbaceous,Perennial graminoid grassland,NA,>1.0,Herb,50-59,7,Dry Mesic Mixed Oak Hardwood,UE
114,114,3092.000000000000000,1883,9817,23,5,13700_53_61_62,Herb,Exotic Herbaceous,Perennial graminoid grassland,NA,>1.0,Herb,40-49,7,RB Mixed Hardwood-Toeslope (ELTP),UE
115,115,1705.000000000000000,1883,7511,43,5,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,40-49,3,RB Mixed Hardwood-Toeslope (ELTP),C
116,116,459.000000000000000,1883,7303,44,7,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,60-69,3,RB Mixed Hardwood-Toeslope (ELTP),C
117,117,545.000000000000000,1874,9317,33,2,13180_57_59_61,Shrub,Exotic Tree-Shrub,Deciduous shrubland,NA,1.0-3.0,Shrub,10-19,7,RB Mixed Hardwood-Toeslope (ELTP),UE
118,118,24.000000000000000,1874,9288,43,6,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,50-59,4,RB Mixed Hardwood-Toeslope (ELTP),D
119,119,363.000000000000000,1888,7512,43,7,14720_61_62_63,Tree,Conifer-Hardwood,Mixed evergreen-deciduous closed tree canopy,mix,10-25,Tree,60-69,3,RB Small Stream Riparian (ELTP),C
120,120,400.000000000000000,1888,9817,23,6,14720_61_62_63,Herb,Exotic Herbaceous,Perennial graminoid grassland,NA,>1.0,Herb,50-59,7,RB Small Stream Riparian (ELTP),UE
121,121,4294.000000000000000,1883,7299,1,1,13700_53_61_62,Developed,Developed-Roads,Developed,NA,0,Non,0,120,RB Mixed Hardwood-Toeslope (ELTP),Developed
122,122,1827.000000000000000,1875,7299,1,1,13200_48_57_61,Developed,Developed-Roads,Developed,NA,0,Non,0,120,Dry Mesic Mixed Oak Hardwood,Developed
123,123,1739.000000000000000,1874,7977,21,6,13180_57_59_61,Herb,Agricultural,Annual Graminoid/Forb,NA,0-0.5,Herb,50-59,180,RB Mixed Hardwood-Toeslope (ELTP),Agriculture
124,124,572.000000000000000,1874,7556,43,6,13180_57_59_61,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,50-59,4,RB Mixed Hardwood-Toeslope (ELTP),D
125,125,863.000000000000000,1883,7370,43,5,13700_53_61_62,Tree,Conifer,Evergreen closed tree canopy,con,10-25,Tree,40-49,3,RB Mixed Hardwood-Toeslope (ELTP),C
126,126,872.000000000000000,1883,7556,43,6,13700_53_61_62,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,50-59,3,RB Mixed Hardwood-Toeslope (ELTP),C
127,127,241.000000000000000,1874,7556,43,5,13180_57_59_61,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,40-49,4,RB Mixed Hardwood-Toeslope (ELTP),D
128,128,1437.000000000000000,1883,9315,43,5,13700_53_61_62,Tree,Conifer-Hardwood,Mixed evergreen-deciduous open tree canopy,mix,10-25,Tree,40-49,7,RB Mixed Hardwood-Toeslope (ELTP),UE
129,129,3103.000000000000000,1883,7303,43,6,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,50-59,3,RB Mixed Hardwood-Toeslope (ELTP),C
130,130,807.000000000000000,1883,9817,23,7,13700_53_61_62,Herb,Exotic Herbaceous,Perennial graminoid grassland,NA,>1.0,Herb,60-69,7,RB Mixed Hardwood-Toeslope (ELTP),UE
131,131,1056.000000000000000,1875,9817,23,5,13200_48_57_61,Herb,Exotic Herbaceous,Perennial graminoid grassland,NA,>1.0,Herb,40-49,7,Dry Mesic Mixed Oak Hardwood,UE
132,132,180.000000000000000,1883,7909,1,1,13700_53_61_62,Shrub,Developed,Mixed evergreen-deciduous shrubland,NA,0,Non,0,120,RB Mixed Hardwood-Toeslope (ELTP),Developed
133,133,455.000000000000000,1875,7556,43,6,13200_48_57_61,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,50-59,4,Dry Mesic Mixed Oak Hardwood,D
134,134,1358.000000000000000,1875,9315,43,6,13200_48_57_61,Tree,Conifer-Hardwood,Mixed evergreen-deciduous open tree canopy,mix,10-25,Tree,50-59,7,Dry Mesic Mixed Oak Hardwood,UE
135,135,1579.000000000000000,1875,7320,43,7,13200_48_57_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,60-69,4,Dry Mesic Mixed Oak Hardwood,D
136,136,2185.000000000000000,1874,9817,21,3,13180_57_59_61,Herb,Exotic Herbaceous,Perennial graminoid grassland,NA,0-0.5,Herb,20-29,7,RB Mixed Hardwood-Toeslope (ELTP),UE
